MiDAS Daily RMS peaks — 20260604
Total: 561 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=3.4286  std=10.3672  min=1.1623  Q25=2.1398  median=2.8247  Q75=3.4562  max=211.7945
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-04 08:03:01    2.9905        noise
001  2026-06-04 08:03:53    2.5764        noise
002  2026-06-04 08:04:45    2.4490        noise
003  2026-06-04 08:06:10    2.4112        noise
004  2026-06-04 08:07:16    2.8540        noise
005  2026-06-04 08:07:49    4.0052        noise
006  2026-06-04 08:08:09    2.5909        noise
007  2026-06-04 08:09:21    2.4164        noise
008  2026-06-04 08:09:53    2.7427        noise
009  2026-06-04 08:12:26    2.2930        noise
010  2026-06-04 08:15:33    2.2414        noise
011  2026-06-04 08:17:02    2.2596        down
012  2026-06-04 08:17:15    2.7866        down
013  2026-06-04 08:17:28    3.7440        noise
014  2026-06-04 08:19:08    1.9575        noise
015  2026-06-04 08:20:02    1.7132        down
016  2026-06-04 08:20:29    3.1714        noise
017  2026-06-04 08:23:05    1.8655        noise
018  2026-06-04 08:23:18    3.0317        noise
019  2026-06-04 08:26:38    1.6888        noise
020  2026-06-04 08:28:17    1.5627        noise
021  2026-06-04 08:28:56    1.7039        noise
022  2026-06-04 08:31:53    1.5588        noise
023  2026-06-04 08:32:13    2.6150        noise
024  2026-06-04 08:35:36    2.3509        down
025  2026-06-04 08:35:50    3.4831        noise
026  2026-06-04 08:37:01    2.2346        noise
027  2026-06-04 08:37:41    2.5074        noise
028  2026-06-04 08:41:05    2.8077        noise
029  2026-06-04 08:42:13    3.2620        noise
030  2026-06-04 08:43:43    2.6323        noise
031  2026-06-04 08:44:43    2.1926        noise
032  2026-06-04 08:45:17    3.3532        noise
033  2026-06-04 08:46:29    2.3259        noise
034  2026-06-04 08:46:47    3.3456        noise
035  2026-06-04 08:47:10    3.3220        noise
036  2026-06-04 08:49:11    2.5893        noise
037  2026-06-04 08:49:25    1.6928        noise
038  2026-06-04 08:49:40    2.3863        down
039  2026-06-04 08:50:33    2.8955        noise
040  2026-06-04 08:53:02    3.4454        noise
041  2026-06-04 08:54:43    2.8293        noise
042  2026-06-04 08:56:04    2.0157        down
043  2026-06-04 08:56:31    3.7314        noise
044  2026-06-04 08:58:22    1.5841        noise
045  2026-06-04 08:59:59    2.0830        noise
046  2026-06-04 09:00:39    1.9489        down
047  2026-06-04 09:00:56    3.1865        noise
