MiDAS Daily RMS peaks — 20260606
Total: 567 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=2.8096  std=2.0506  min=1.2775  Q25=2.1666  median=2.6694  Q75=3.0889  max=36.6261
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-06 08:06:04    3.1411        noise
001  2026-06-06 08:08:06    2.0764        down
002  2026-06-06 08:08:29    2.1067        down
003  2026-06-06 08:10:17    2.3774        down
004  2026-06-06 08:11:25    2.1046        noise
005  2026-06-06 08:13:43    2.0639        noise
006  2026-06-06 08:14:07    2.8551        noise
007  2026-06-06 08:15:23    2.3086        noise
008  2026-06-06 08:18:28    2.2275        noise
009  2026-06-06 08:20:34    1.9740        noise
010  2026-06-06 08:21:35    1.7546        noise
011  2026-06-06 08:27:04    2.2409        noise
012  2026-06-06 08:28:56    1.5027        down
013  2026-06-06 08:29:33    1.6997        down
014  2026-06-06 08:31:14    2.2395        noise
015  2026-06-06 08:32:21    2.1283        noise
016  2026-06-06 08:32:41    2.2705        noise
017  2026-06-06 08:33:28    5.3161        up
018  2026-06-06 08:34:34    2.7868        noise
019  2026-06-06 08:35:16    3.2016        down
020  2026-06-06 08:35:29    2.5147        down
021  2026-06-06 08:36:53    2.7361        down
022  2026-06-06 08:37:40    3.7402        down
023  2026-06-06 08:42:15    2.2430        down
024  2026-06-06 08:42:53    2.4176        down
025  2026-06-06 08:43:22    3.0241        down
026  2026-06-06 08:43:45    2.9077        down
027  2026-06-06 08:44:40    4.2597        down
028  2026-06-06 08:46:06    2.1298        down
029  2026-06-06 08:48:01    3.2417        down
030  2026-06-06 08:48:44    3.8208        down
031  2026-06-06 08:49:43    3.2077        down
032  2026-06-06 08:51:39    4.2968        noise
033  2026-06-06 08:52:31    2.7529        noise
034  2026-06-06 08:52:59    2.6611        down
035  2026-06-06 08:55:45    3.5195        down
036  2026-06-06 08:57:41    2.7102        down
037  2026-06-06 09:00:40    3.7603        noise
038  2026-06-06 09:01:12    3.1613        noise
039  2026-06-06 09:02:24    2.5546        down
040  2026-06-06 09:02:42    2.8254        down
041  2026-06-06 09:02:57    3.0971        down
042  2026-06-06 09:03:19    3.8960        down
043  2026-06-06 09:04:13    3.1014        down
044  2026-06-06 09:05:12    2.5706        down
045  2026-06-06 09:06:11    3.2750        down
046  2026-06-06 09:06:52    3.2702        down
047  2026-06-06 09:08:23    2.6727        noise
048  2026-06-06 09:09:52    2.4631        down
049  2026-06-06 09:10:07    2.5507        down
