MiDAS Daily RMS peaks — 20260613
Total: 404 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=2.4395  std=1.9622  min=1.0653  Q25=1.8664  median=2.2968  Q75=2.7087  max=38.4930
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-13 08:06:43    2.2302        noise
001  2026-06-13 08:07:26    1.7382        noise
002  2026-06-13 08:11:53    2.2349        noise
003  2026-06-13 08:14:02    2.2001        noise
004  2026-06-13 08:23:32    2.2447        noise
005  2026-06-13 08:25:01    3.2066        down
006  2026-06-13 08:25:31    2.2314        noise
007  2026-06-13 08:26:33    2.6747        down
008  2026-06-13 08:28:48    2.6642        down
009  2026-06-13 08:29:22    2.4229        down
010  2026-06-13 08:29:34    2.2184        down
011  2026-06-13 08:31:08    2.3559        down
012  2026-06-13 08:32:51    2.7302        down
013  2026-06-13 08:34:31    2.9902        noise
014  2026-06-13 08:34:48    2.6101        down
015  2026-06-13 08:40:58    2.5736        noise
016  2026-06-13 08:42:45    2.0028        down
017  2026-06-13 08:43:43    3.0865        noise
018  2026-06-13 08:46:38    3.2764        noise
019  2026-06-13 08:49:11    3.7853        noise
020  2026-06-13 08:50:44    2.2341        down
021  2026-06-13 08:51:08    3.2599        down
022  2026-06-13 08:51:40    3.0907        noise
023  2026-06-13 08:54:02    6.3783        down
024  2026-06-13 08:54:34    3.1410        down
025  2026-06-13 08:55:43    2.5480        down
026  2026-06-13 08:57:49    2.3642        noise
027  2026-06-13 08:59:00    2.4443        noise
028  2026-06-13 08:59:19    2.8716        noise
029  2026-06-13 08:59:39    2.3093        noise
030  2026-06-13 09:02:42    2.4519        noise
031  2026-06-13 09:03:24    2.6343        noise
032  2026-06-13 09:03:41    3.2300        noise
033  2026-06-13 09:05:02    2.7266        noise
034  2026-06-13 09:08:08    2.5102        noise
035  2026-06-13 09:08:38    3.2073        noise
036  2026-06-13 09:12:44    2.2441        down
037  2026-06-13 09:15:53    2.2865        noise
038  2026-06-13 09:19:11    2.6275        noise
039  2026-06-13 09:21:31    3.7704        noise
040  2026-06-13 09:22:17    3.3778        noise
041  2026-06-13 09:25:54    2.1714        noise
042  2026-06-13 09:27:52    4.2486        noise
043  2026-06-13 09:28:06    2.3165        noise
044  2026-06-13 09:32:28    2.6500        noise
045  2026-06-13 09:36:41    1.9126        noise
046  2026-06-13 09:37:09    3.2249        noise
047  2026-06-13 09:38:42    1.9051        noise
048  2026-06-13 09:46:15    2.3673        noise
049  2026-06-13 09:50:20    2.3860        noise
050  2026-06-13 09:52:55    2.3300        noise
051  2026-06-13 09:54:10    2.1631        noise
052  2026-06-13 10:02:29    3.0717        noise
053  2026-06-13 10:03:50    2.5622        down
054  2026-06-13 10:04:13    3.0361        down
055  2026-06-13 10:04:25    2.9290        down
056  2026-06-13 10:04:49    3.2748        noise
057  2026-06-13 10:07:27    2.2992        up
058  2026-06-13 10:08:03    2.3973        down
059  2026-06-13 10:08:21    2.9683        noise
060  2026-06-13 10:08:59    3.7055        down
061  2026-06-13 10:09:27    3.9952        down
062  2026-06-13 10:17:24    2.7523        noise
063  2026-06-13 10:21:48    2.0877        noise
064  2026-06-13 10:24:01    2.4622        down
065  2026-06-13 10:24:20    2.7796        down
066  2026-06-13 10:27:07    2.4614        down
067  2026-06-13 10:28:07    2.1393        down
068  2026-06-13 10:29:16    2.0618        down
069  2026-06-13 10:31:04    2.9274        up
070  2026-06-13 10:33:05    2.2944        noise
071  2026-06-13 10:33:21    3.4948        noise
072  2026-06-13 10:36:27    2.3004        down
073  2026-06-13 10:36:57    2.4159        noise
074  2026-06-13 10:38:24    2.2731        down
075  2026-06-13 10:39:31    2.7667        down
076  2026-06-13 10:40:12    2.8557        noise
077  2026-06-13 10:41:14    3.2114        noise
078  2026-06-13 10:43:29    2.5932        noise
079  2026-06-13 10:44:20    3.2230        noise
080  2026-06-13 10:46:17    1.9799        noise
081  2026-06-13 10:46:40    2.1065        noise
082  2026-06-13 10:49:02    2.1042        noise
083  2026-06-13 10:49:23    2.0244        noise
084  2026-06-13 10:52:06    2.6510        noise
085  2026-06-13 10:52:38    3.1395        noise
086  2026-06-13 10:54:10    3.7143        noise
087  2026-06-13 10:55:52    2.4558        down
088  2026-06-13 11:03:46    2.0800        noise
089  2026-06-13 11:04:30    3.8866        noise
090  2026-06-13 11:05:00    2.3462        noise
091  2026-06-13 11:06:12    3.1705        noise
092  2026-06-13 11:08:21    1.9755        down
093  2026-06-13 11:08:56    2.0954        noise
094  2026-06-13 11:09:43    2.2801        down
095  2026-06-13 11:10:30    2.2103        down
096  2026-06-13 11:11:23    2.7658        noise
097  2026-06-13 11:12:30    2.1259        noise
098  2026-06-13 11:12:45    2.7447        noise
099  2026-06-13 11:13:28    1.9261        noise
100  2026-06-13 11:13:43    2.4772        down
101  2026-06-13 11:14:49    2.6025        noise
102  2026-06-13 11:15:15    2.1292        down
103  2026-06-13 11:15:52    2.6704        noise
104  2026-06-13 11:16:49    3.1336        noise
105  2026-06-13 11:19:05    3.0334        noise
106  2026-06-13 11:20:37    3.5651        noise
107  2026-06-13 11:21:55    3.8677        noise
108  2026-06-13 11:22:07    2.9446        down
109  2026-06-13 11:26:51    2.5694        noise
110  2026-06-13 11:31:16    2.2519        noise
111  2026-06-13 11:31:55    2.7151        down
112  2026-06-13 11:32:39    2.5108        noise
113  2026-06-13 11:32:54    2.7065        noise
114  2026-06-13 11:34:24    2.7418        noise
115  2026-06-13 11:34:49    2.5617        noise
116  2026-06-13 11:35:59    2.4713        noise
117  2026-06-13 11:37:42    3.4544        noise
118  2026-06-13 11:39:06    2.3997        noise
119  2026-06-13 11:39:35    2.5383        down
120  2026-06-13 11:40:44    2.8475        noise
121  2026-06-13 11:42:22    2.2001        down
122  2026-06-13 11:45:34    2.7706        noise
123  2026-06-13 11:46:51    2.8771        down
124  2026-06-13 11:48:39    1.8907        noise
125  2026-06-13 11:49:54    2.9729        down
126  2026-06-13 11:51:50    2.2295        noise
127  2026-06-13 11:52:56    2.8470        noise
128  2026-06-13 11:53:10    3.2761        down
129  2026-06-13 11:59:31    2.8474        noise
130  2026-06-13 12:01:25    2.4402        noise
131  2026-06-13 12:02:40    2.1691        noise
132  2026-06-13 12:02:54    3.3217        down
133  2026-06-13 12:04:20    1.8416        noise
134  2026-06-13 12:06:44    3.9799        up
135  2026-06-13 12:07:13    3.7128        up
136  2026-06-13 12:09:00    2.7217        noise
137  2026-06-13 12:14:15    1.7675        noise
138  2026-06-13 12:15:47    2.6812        noise
139  2026-06-13 12:17:44    1.7322        noise
140  2026-06-13 12:27:35    1.4666        noise
141  2026-06-13 12:29:17    3.6082        noise
142  2026-06-13 12:33:44    1.8250        noise
143  2026-06-13 12:34:49    2.6915        noise
144  2026-06-13 12:42:39    1.7487        noise
145  2026-06-13 12:44:40    2.0897        noise
146  2026-06-13 12:55:52    3.4482        noise
147  2026-06-13 13:08:13    1.9627        noise
148  2026-06-13 13:08:55    2.7399        down
149  2026-06-13 13:09:35    2.4780        noise
150  2026-06-13 13:11:06    2.3006        down
151  2026-06-13 13:18:18    2.1752        noise
152  2026-06-13 13:18:38    2.0436        down
153  2026-06-13 13:20:32    2.2155        noise
154  2026-06-13 13:24:29    2.3675        noise
155  2026-06-13 13:38:17    2.6571        noise
156  2026-06-13 13:39:55    1.9212        noise
157  2026-06-13 13:40:43    2.5392        noise
158  2026-06-13 13:41:34    3.0992        noise
159  2026-06-13 13:43:28    2.1208        down
160  2026-06-13 13:44:34    2.7413        noise
161  2026-06-13 13:45:04    2.3294        down
162  2026-06-13 13:46:09    2.2272        noise
163  2026-06-13 13:46:51    2.4607        down
164  2026-06-13 13:49:02    2.3627        noise
165  2026-06-13 13:51:13    2.1595        noise
166  2026-06-13 13:51:25    2.6163        noise
167  2026-06-13 13:52:29    2.1327        noise
168  2026-06-13 13:52:57    2.4001        noise
169  2026-06-13 13:54:48    3.1648        noise
170  2026-06-13 13:55:55    2.5796        noise
171  2026-06-13 13:58:03    2.2455        down
172  2026-06-13 13:58:27    2.5966        noise
173  2026-06-13 13:59:57    2.4740        noise
174  2026-06-13 14:02:14    2.1589        noise
175  2026-06-13 14:02:58    3.4652        noise
176  2026-06-13 14:03:16    2.2342        down
177  2026-06-13 14:06:36    3.4676        down
178  2026-06-13 14:10:55    2.4283        noise
179  2026-06-13 14:11:24    2.5209        down
180  2026-06-13 14:12:33    2.0437        noise
181  2026-06-13 14:13:01    3.7445        noise
182  2026-06-13 14:16:56    2.5230        noise
183  2026-06-13 14:17:12    2.1144        down
184  2026-06-13 14:17:46    2.4679        noise
185  2026-06-13 14:19:07    3.0105        noise
186  2026-06-13 14:19:32    2.4903        noise
187  2026-06-13 14:22:32    1.8302        noise
188  2026-06-13 14:24:35    2.7374        noise
189  2026-06-13 14:26:45    2.8265        noise
190  2026-06-13 14:30:23    2.4802        down
191  2026-06-13 14:31:15    3.0950        noise
192  2026-06-13 14:31:30    2.7250        noise
193  2026-06-13 14:33:41    2.4175        down
194  2026-06-13 14:36:12    3.0420        noise
195  2026-06-13 14:37:28    1.9690        down
196  2026-06-13 14:37:58    2.6224        down
197  2026-06-13 14:39:09    2.6007        down
198  2026-06-13 14:39:43    2.9445        down
199  2026-06-13 14:40:24    2.7390        down
