MiDAS Daily RMS peaks — 20260611
Total: 587 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=2.9963  std=7.6497  min=1.0350  Q25=2.1290  median=2.6622  Q75=3.1322  max=186.3178
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-06-11 08:03:58    1.8859        noise
001  2026-06-11 08:04:37    1.7841        noise
002  2026-06-11 08:05:23    1.9410        noise
003  2026-06-11 08:06:08    1.9749        noise
004  2026-06-11 08:06:45    1.9260        noise
005  2026-06-11 08:07:56    2.7260        noise
006  2026-06-11 08:08:32    2.3136        noise
007  2026-06-11 08:08:50    3.0103        noise
008  2026-06-11 08:09:48    2.7708        noise
009  2026-06-11 08:10:03    3.0368        noise
010  2026-06-11 08:11:06    2.8255        noise
011  2026-06-11 08:14:50    2.4693        noise
012  2026-06-11 08:15:03    2.3150        noise
013  2026-06-11 08:15:31    2.8503        noise
014  2026-06-11 08:17:52    2.4566        noise
015  2026-06-11 08:18:09    2.9438        noise
016  2026-06-11 08:18:21    3.7710        noise
017  2026-06-11 08:19:52    2.5568        up
018  2026-06-11 08:20:24    3.0617        noise
019  2026-06-11 08:23:23    2.9765        down
020  2026-06-11 08:24:59    3.0151        noise
021  2026-06-11 08:27:32    3.5200        noise
022  2026-06-11 08:28:45    2.4799        down
023  2026-06-11 08:29:06    3.0649        noise
024  2026-06-11 08:34:16    2.8050        noise
025  2026-06-11 08:35:22    2.6622        noise
026  2026-06-11 08:35:41    2.8021        noise
027  2026-06-11 08:36:01    3.3982        noise
028  2026-06-11 08:36:48    3.4756        noise
029  2026-06-11 08:38:17    2.3866        noise
030  2026-06-11 08:39:24    3.3089        noise
031  2026-06-11 08:41:16    2.6574        noise
032  2026-06-11 08:42:39    3.0018        noise
033  2026-06-11 08:44:39    3.1284        noise
034  2026-06-11 08:45:18    2.9510        down
035  2026-06-11 08:46:40    2.8791        down
036  2026-06-11 08:48:11    2.9655        down
037  2026-06-11 08:48:55    2.3013        down
038  2026-06-11 08:49:48    3.3104        noise
039  2026-06-11 08:53:09    2.5114        noise
040  2026-06-11 08:53:56    2.4052        noise
041  2026-06-11 08:54:52    2.6614        noise
042  2026-06-11 08:56:31    3.2776        noise
043  2026-06-11 08:57:51    2.9699        noise
044  2026-06-11 08:59:23    3.7927        noise
045  2026-06-11 08:59:38    3.2341        noise
046  2026-06-11 09:00:08    3.3076        noise
047  2026-06-11 09:00:38    3.3957        noise
048  2026-06-11 09:01:02    3.3592        noise
049  2026-06-11 09:02:16    2.8858        noise
050  2026-06-11 09:07:05    3.9404        noise
051  2026-06-11 09:08:32    2.8985        noise
052  2026-06-11 09:10:18    3.8843        noise
053  2026-06-11 09:11:31    2.7706        down
054  2026-06-11 09:13:43    3.0733        noise
055  2026-06-11 09:15:01    3.3953        noise
056  2026-06-11 09:15:13    3.3651        down
057  2026-06-11 09:15:27    3.8348        noise
058  2026-06-11 09:16:28    2.9781        noise
059  2026-06-11 09:16:51    3.3875        noise
060  2026-06-11 09:17:30    2.6290        noise
061  2026-06-11 09:18:11    2.8765        noise
062  2026-06-11 09:21:41    2.2684        noise
063  2026-06-11 09:22:42    2.6297        up
064  2026-06-11 09:22:55    3.4522        noise
065  2026-06-11 09:23:12    3.7090        noise
066  2026-06-11 09:24:57    3.1185        down
067  2026-06-11 09:25:56    2.8753        down
068  2026-06-11 09:26:15    3.4038        up
069  2026-06-11 09:27:09    2.7182        down
070  2026-06-11 09:27:48    2.4923        down
071  2026-06-11 09:28:44    2.6486        down
072  2026-06-11 09:30:25    2.6007        noise
073  2026-06-11 09:30:54    3.7686        noise
074  2026-06-11 09:32:14    3.0653        down
075  2026-06-11 09:33:19    3.1301        down
076  2026-06-11 09:33:37    3.2774        down
077  2026-06-11 09:33:52    3.1636        noise
078  2026-06-11 09:36:15    3.0782        noise
079  2026-06-11 09:36:38    2.6028        down
080  2026-06-11 09:37:57    2.7351        noise
081  2026-06-11 09:38:15    2.9663        noise
082  2026-06-11 09:38:34    3.0100        noise
083  2026-06-11 09:39:30    2.3415        down
084  2026-06-11 09:41:39    2.7958        noise
085  2026-06-11 09:42:51    2.4969        noise
086  2026-06-11 09:45:10    2.1234        up
087  2026-06-11 09:46:26    2.0375        noise
088  2026-06-11 09:47:01    2.4935        noise
089  2026-06-11 09:51:22    1.9801        noise
090  2026-06-11 09:52:10    3.3060        noise
091  2026-06-11 09:52:36    3.2353        noise
092  2026-06-11 09:53:04    3.5737        noise
093  2026-06-11 09:54:22    2.4034        noise
094  2026-06-11 09:57:22    2.2911        up
095  2026-06-11 09:57:59    2.8800        noise
096  2026-06-11 09:58:20    2.6244        noise
097  2026-06-11 09:58:52    3.0487        noise
098  2026-06-11 10:05:18    3.0336        noise
099  2026-06-11 10:06:25    2.9033        up
100  2026-06-11 10:06:45    2.7362        noise
101  2026-06-11 10:07:04    3.2622        noise
102  2026-06-11 10:07:18    3.0149        noise
103  2026-06-11 10:11:06    2.7936        noise
